Tag Name,Address,Data Type,Respect Data Type,Client Access,Scan Rate,Scaling,Raw Low,Raw High,Scaled Low,Scaled High,Scaled Data Type,Clamp Low,Clamp High,Eng Units,Description,Negate Value
F2MP11-KWh,K0001,Float,1,R/W,100,,,,,,,,,,,
F2MP11-Energy,K0002,Float,1,R/W,100,,,,,,,,,,,
F2MP11-Voltage_1,K0003,Float,1,R/W,100,,,,,,,,,,,
F2MP11-Voltage_2,K0004,Float,1,R/W,100,,,,,,,,,,,
F2MP11-Voltage_3,K0005,Float,1,R/W,100,,,,,,,,,,,
F2MP11-Voltage_N,K0006,Float,1,R/W,100,,,,,,,,,,,
F2MP11-Current_1,K0007,Float,1,R/W,100,,,,,,,,,,,
F2MP11-Current_2,K0008,Float,1,R/W,100,,,,,,,,,,,
F2MP11-Current_3,K0009,Float,1,R/W,100,,,,,,,,,,,
F2MP11-Current_AVG,K0010,Float,1,R/W,100,,,,,,,,,,,
F2MP11-Power_1,K0011,Float,1,R/W,100,,,,,,,,,,,
F2MP11-Power_2,K0012,Float,1,R/W,100,,,,,,,,,,,
F2MP11-Power_3,K0013,Float,1,R/W,100,,,,,,,,,,,
F2MP11-Power_Factor_1,K0014,Float,1,R/W,100,,,,,,,,,,,
F2MP11-Power_Factor_2,K0015,Float,1,R/W,100,,,,,,,,,,,
F2MP11-Power_Factor_3,K0016,Float,1,R/W,100,,,,,,,,,,,
F2MP11-Power_Factor_Total,K0017,Float,1,R/W,100,,,,,,,,,,,
F2MP12-1-KWh,K0018,Float,1,R/W,100,,,,,,,,,,,
F2MP12-1-Energy,K0019,Float,1,R/W,100,,,,,,,,,,,
F2MP12-1-Voltage_1,K0020,Float,1,R/W,100,,,,,,,,,,,
F2MP12-1-Voltage_2,K0021,Float,1,R/W,100,,,,,,,,,,,
F2MP12-1-Voltage_3,K0022,Float,1,R/W,100,,,,,,,,,,,
F2MP12-1-Voltage_N,K0023,Float,1,R/W,100,,,,,,,,,,,
F2MP12-1-Current_1,K0024,Float,1,R/W,100,,,,,,,,,,,
F2MP12-1-Current_2,K0025,Float,1,R/W,100,,,,,,,,,,,
F2MP12-1-Current_3,K0026,Float,1,R/W,100,,,,,,,,,,,
F2MP12-1-Current_AVG,K0027,Float,1,R/W,100,,,,,,,,,,,
F2MP12-1-Power_1,K0028,Float,1,R/W,100,,,,,,,,,,,
F2MP12-1-Power_2,K0029,Float,1,R/W,100,,,,,,,,,,,
F2MP12-1-Power_3,K0030,Float,1,R/W,100,,,,,,,,,,,
F2MP12-1-Power_Factor_1,K0031,Float,1,R/W,100,,,,,,,,,,,
F2MP12-1-Power_Factor_2,K0032,Float,1,R/W,100,,,,,,,,,,,
F2MP12-1-Power_Factor_3,K0033,Float,1,R/W,100,,,,,,,,,,,
F2MP12-1-Power_Factor_Total,K0034,Float,1,R/W,100,,,,,,,,,,,
F2MP13-1-KWh,K0035,Float,1,R/W,100,,,,,,,,,,,
F2MP13-1-Energy,K0036,Float,1,R/W,100,,,,,,,,,,,
F2MP13-1-Voltage_1,K0037,Float,1,R/W,100,,,,,,,,,,,
F2MP13-1-Voltage_2,K0038,Float,1,R/W,100,,,,,,,,,,,
F2MP13-1-Voltage_3,K0039,Float,1,R/W,100,,,,,,,,,,,
F2MP13-1-Voltage_N,K0040,Float,1,R/W,100,,,,,,,,,,,
F2MP13-1-Current_1,K0041,Float,1,R/W,100,,,,,,,,,,,
F2MP13-1-Current_2,K0042,Float,1,R/W,100,,,,,,,,,,,
F2MP13-1-Current_3,K0043,Float,1,R/W,100,,,,,,,,,,,
F2MP13-1-Current_AVG,K0044,Float,1,R/W,100,,,,,,,,,,,
F2MP13-1-Power_1,K0045,Float,1,R/W,100,,,,,,,,,,,
F2MP13-1-Power_2,K0046,Float,1,R/W,100,,,,,,,,,,,
F2MP13-1-Power_3,K0047,Float,1,R/W,100,,,,,,,,,,,
F2MP13-1-Power_Factor_1,K0048,Float,1,R/W,100,,,,,,,,,,,
F2MP13-1-Power_Factor_2,K0049,Float,1,R/W,100,,,,,,,,,,,
F2MP13-1-Power_Factor_3,K0050,Float,1,R/W,100,,,,,,,,,,,
F2MP13-1-Power_Factor_Total,K0051,Float,1,R/W,100,,,,,,,,,,,
F2MP14-1-KWh,K0052,Float,1,R/W,100,,,,,,,,,,,
F2MP14-1-Energy,K0053,Float,1,R/W,100,,,,,,,,,,,
F2MP14-1-Voltage_1,K0054,Float,1,R/W,100,,,,,,,,,,,
F2MP14-1-Voltage_2,K0055,Float,1,R/W,100,,,,,,,,,,,
F2MP14-1-Voltage_3,K0056,Float,1,R/W,100,,,,,,,,,,,
F2MP14-1-Voltage_N,K0057,Float,1,R/W,100,,,,,,,,,,,
F2MP14-1-Current_1,K0058,Float,1,R/W,100,,,,,,,,,,,
F2MP14-1-Current_2,K0059,Float,1,R/W,100,,,,,,,,,,,
F2MP14-1-Current_3,K0060,Float,1,R/W,100,,,,,,,,,,,
F2MP14-1-Current_AVG,K0061,Float,1,R/W,100,,,,,,,,,,,
F2MP14-1-Power_1,K0062,Float,1,R/W,100,,,,,,,,,,,
F2MP14-1-Power_2,K0063,Float,1,R/W,100,,,,,,,,,,,
F2MP14-1-Power_3,K0064,Float,1,R/W,100,,,,,,,,,,,
F2MP14-1-Power_Factor_1,K0065,Float,1,R/W,100,,,,,,,,,,,
F2MP14-1-Power_Factor_2,K0066,Float,1,R/W,100,,,,,,,,,,,
F2MP14-1-Power_Factor_3,K0067,Float,1,R/W,100,,,,,,,,,,,
F2MP14-1-Power_Factor_Total,K0068,Float,1,R/W,100,,,,,,,,,,,
F2MP14-2-KWh,K0069,Float,1,R/W,100,,,,,,,,,,,
F2MP14-2-Energy,K0070,Float,1,R/W,100,,,,,,,,,,,
F2MP14-2-Voltage_1,K0071,Float,1,R/W,100,,,,,,,,,,,
F2MP14-2-Voltage_2,K0072,Float,1,R/W,100,,,,,,,,,,,
F2MP14-2-Voltage_3,K0073,Float,1,R/W,100,,,,,,,,,,,
F2MP14-2-Voltage_N,K0074,Float,1,R/W,100,,,,,,,,,,,
F2MP14-2-Current_1,K0075,Float,1,R/W,100,,,,,,,,,,,
F2MP14-2-Current_2,K0076,Float,1,R/W,100,,,,,,,,,,,
F2MP14-2-Current_3,K0077,Float,1,R/W,100,,,,,,,,,,,
F2MP14-2-Current_AVG,K0078,Float,1,R/W,100,,,,,,,,,,,
F2MP14-2-Power_1,K0079,Float,1,R/W,100,,,,,,,,,,,
F2MP14-2-Power_2,K0080,Float,1,R/W,100,,,,,,,,,,,
F2MP14-2-Power_3,K0081,Float,1,R/W,100,,,,,,,,,,,
F2MP14-2-Power_Factor_1,K0082,Float,1,R/W,100,,,,,,,,,,,
F2MP14-2-Power_Factor_2,K0083,Float,1,R/W,100,,,,,,,,,,,
F2MP14-2-Power_Factor_3,K0084,Float,1,R/W,100,,,,,,,,,,,
F2MP14-2-Power_Factor_Total,K0085,Float,1,R/W,100,,,,,,,,,,,
F2MP14-3-KWh,K0086,Float,1,R/W,100,,,,,,,,,,,
F2MP14-3-Energy,K0087,Float,1,R/W,100,,,,,,,,,,,
F2MP14-3-Voltage_1,K0088,Float,1,R/W,100,,,,,,,,,,,
F2MP14-3-Voltage_2,K0089,Float,1,R/W,100,,,,,,,,,,,
F2MP14-3-Voltage_3,K0090,Float,1,R/W,100,,,,,,,,,,,
F2MP14-3-Voltage_N,K0091,Float,1,R/W,100,,,,,,,,,,,
F2MP14-3-Current_1,K0092,Float,1,R/W,100,,,,,,,,,,,
F2MP14-3-Current_2,K0093,Float,1,R/W,100,,,,,,,,,,,
F2MP14-3-Current_3,K0094,Float,1,R/W,100,,,,,,,,,,,
F2MP14-3-Current_AVG,K0095,Float,1,R/W,100,,,,,,,,,,,
F2MP14-3-Power_1,K0096,Float,1,R/W,100,,,,,,,,,,,
F2MP14-3-Power_2,K0097,Float,1,R/W,100,,,,,,,,,,,
F2MP14-3-Power_3,K0098,Float,1,R/W,100,,,,,,,,,,,
